,지형지물부호,관리번호,행정읍면동,도엽번호,도로구간번호,공사번호,정류장종류,정류장명,정류장유형,대장초기화여부,위도,경도
250,정류장,2209000239,대전광역시 중구 ,36710067,27763,STT0282000,시내버스,충남여자중고등학교,유개형(도시형),1,36.33093608,127.410013
253,정류장,2209000242,대전광역시 중구 ,36710067,27770,STT0285000,시내버스,호수돈여고,표지설치,1,36.32703669,127.4123916
254,정류장,2209000243,대전광역시 중구 ,36710067,27942,STT0286000,시내버스,서대전초등학교,표지설치,1,36.32508914,127.4111127
255,정류장,2209000244,대전광역시 중구 ,36710077,20575,STT0287000,버스공용,센트럴파크아파트,유개형(도시형),1,36.3171734,127.4072328
256,정류장,2209000245,대전광역시 중구 ,36710077,20192,STT0288000,버스공용,센트럴파크,유개형(도시형),1,36.31633632,127.4094683
257,정류장,2209000246,대전광역시 중구 ,36710077,22454,STT0289000,버스공용,충남도교육청,유개형(도시형),1,36.31580345,127.4088377
258,정류장,2209000247,대전광역시 중구 ,36710067,21756,STT0290000,시내버스,목양마을아파트후문,유개형(도시형),1,36.33586119,127.4034948
259,정류장,2209000248,대전광역시 중구 ,36710067,21755,STT0291000,시내버스,목양마을아파트후문,유개형(도시형),1,36.33688106,127.4035445
260,정류장,2209000251,대전광역시 중구 ,36710067,27620,STT0294000,시내버스,중촌동과선교,표지설치,1,36.34282261,127.4096085
261,정류장,2209000252,대전광역시 중구 ,36710066,26902,STT0295000,시내버스,태평오거리,표지설치,1,36.32640276,127.3952217
262,정류장,2209000253,대전광역시 중구 ,36710066,21587,STT0296000,시내버스,유등마을아파트,유개형(도시형),1,36.3310323,127.3978905
264,정류장,2209000255,대전광역시 중구 ,36710066,26984,STT0298000,시내버스,푸른뫼아파트,유개형(도시형),1,36.32839139,127.3991864
265,정류장,2209000256,대전광역시 중구 ,36710076,14344,STT0299000,버스공용,유천동서대전농협,유개형(도시형),1,36.31787269,127.3949138
730,정류장,101356,대전광역시 중구 ,36710078,24210,STT0821000,시내버스,대흥네거리,유개형(도시형),1,36.3239145,127.4272639
731,정류장,101359,대전광역시 중구 ,36710078,22147,STT0822000,시내버스,대흥네거리,유개형(도시형),1,36.32381468,127.4263456
732,정류장,101370,대전광역시 중구 ,36710078,24089,STT0825000,시내버스,오토바이거리,유개형(도시형),1,36.32200968,127.4296534
760,정류장,101456,대전광역시 중구 ,36710086,19510,STT0855000,시내버스,백골저수지,표지설치,1,36.29591264,127.3996825
761,정류장,101457,대전광역시 중구 ,36710086,19510,STT0856000,시내버스,백골저수지,유개형(도시형),1,36.29588351,127.3999595
762,정류장,101458,대전광역시 중구 ,36710086,19536,STT0857000,시내버스,대전보호공원입구,유개형(도시형),1,36.29823538,127.395008
763,정류장,2209000623,대전광역시 중구 ,36710086,33472,STT0858000,시내버스,효문화마을입구,표지설치,1,36.28625929,127.3786477
764,정류장,2209000624,대전광역시 중구 ,36710086,18912,STT0859000,시내버스,한국효문화진흥원,표지설치,1,36.28518589,127.3809684
769,정류장,2209000629,대전광역시 중구 ,36710087,59323,STT0864000,시내버스,구완동버스정류장,유개형(도시형),1,36.27949126,127.4247799
770,정류장,2209000630,대전광역시 중구 ,36710086,19838,STT0865000,시내버스,침산동,유개형(도시형),1,36.27747172,127.3985715
771,정류장,2209000631,대전광역시 중구 ,36710087,59418,STT0866000,시내버스,무수동,표지설치,1,36.2771528,127.4022545
772,정류장,2209000632,대전광역시 중구 ,36710087,59388,STT0867000,시내버스,무수동,유개형(도시형),1,36.2770162,127.4069642
773,정류장,2209000633,대전광역시 중구 ,36710087,18891,STT0868000,시내버스,산성동사무소,유개형(도시형),1,36.27530251,127.4003964
774,정류장,2209000634,대전광역시 중구 ,36710096,19927,STT0869000,시내버스,침산동버스정류장,표지설치,1,36.27373776,127.3965606
775,정류장,2209000635,대전광역시 중구 ,36710096,16673,STT0870000,시외버스,검바위버스정류장,유개형(도시형),1,36.27377361,127.3772896
776,정류장,2209000636,대전광역시 중구 ,36710097,19951,STT0871000,시내버스,목달동,유개형(도시형),1,36.27166205,127.4010502
777,정류장,2209000637,대전광역시 중구 ,36710096,33332,STT0872000,시내버스,샛고개버스정류장,표지설치,1,36.27127027,127.3789795
